symbole;date;ouverture;haut;bas;cloture;volume
BNA;01/09/2023;7,64;7,64;7,58;7,64;10465
BNA;04/09/2023;7,64;7,64;7,45;7,48;25890
BNA;05/09/2023;7,48;7,59;7,33;7,39;14313
BNA;06/09/2023;7,39;7,39;7,21;7,29;28019
BNA;07/09/2023;7,29;7,48;7,2;7,39;23026
BNA;08/09/2023;7,39;7,7;7,39;7,67;5234
BNA;11/09/2023;7,67;7,67;7,55;7,6;1602
BNA;12/09/2023;7,6;7,6;7,47;7,6;4655
BNA;13/09/2023;7,6;7,6;7,45;7,6;359
BNA;14/09/2023;7,6;7,6;7,5;7,57;2728
BNA;15/09/2023;7,57;7,57;7,4;7,54;499
BNA;18/09/2023;7,54;7,54;7,3;7,3;8819
BNA;19/09/2023;7,29;7,48;7,1;7,43;16619
BNA;20/09/2023;7,43;7,43;7,25;7,39;2591
BNA;21/09/2023;7,39;7,39;7,2;7,39;560
BNA;22/09/2023;7,39;7,39;7,2;7,37;17026
BNA;25/09/2023;7,37;7,37;7,14;7,19;30923
BNA;26/09/2023;7,19;7,2;7,1;7,1;36242
BNA;28/09/2023;7,1;7,19;7;7,19;7532
BNA;29/09/2023;7,19;7,19;7,15;7,19;452
BNA;02/10/2023;7,19;7,25;7,19;7,25;980
BNA;03/10/2023;7,25;7,25;7,25;7,25;2200
BNA;04/10/2023;7,25;7,25;7,11;7,11;21873
BNA;05/10/2023;7,11;7,25;7,01;7,11;7346
BNA;06/10/2023;7,11;7,11;7,1;7,11;4087
BNA;09/10/2023;7,11;7,11;7,09;7,11;10764
BNA;10/10/2023;7,11;7,11;7,06;7,11;4716
BNA;11/10/2023;7,11;7,11;7,09;7,1;1464
BNA;12/10/2023;7,1;7,11;7,09;7,11;5938
BNA;13/10/2023;7,11;7,11;7,09;7,11;14424
BNA;16/10/2023;7,11;7,11;7,06;7,11;4900
BNA;17/10/2023;7,11;7,11;7,05;7,11;1054
BNA;18/10/2023;7,11;7,11;7,06;7,11;265
BNA;19/10/2023;7,11;7,11;7,03;7,09;8318
BNA;20/10/2023;7,09;7,15;7,03;7,15;8179
BNA;23/10/2023;7,15;7,49;7,15;7,48;5169
BNA;24/10/2023;7,48;7,5;7,42;7,48;3214
BNA;25/10/2023;7,48;7,49;7,35;7,49;2237
BNA;26/10/2023;7,49;7,49;7,35;7,4;14977
BNA;27/10/2023;7,4;7,4;7,3;7,4;8897
BNA;30/10/2023;7,4;7,4;7,3;7,38;7101
BNA;31/10/2023;7,38;7,4;7,25;7,39;9502
BNA;01/11/2023;7,39;7,39;7,3;7,38;3835
BNA;02/11/2023;7,38;7,38;7,38;7,38;347
BNA;03/11/2023;7,38;7,38;7,37;7,38;1210
BNA;06/11/2023;7,38;7,38;7,3;7,3;652
BNA;07/11/2023;7,3;7,3;7,15;7,15;10440
BNA;08/11/2023;7,15;7,4;7,1;7,4;14207
BNA;09/11/2023;7,4;7,49;7,2;7,48;15722
BNA;10/11/2023;7,48;7,49;7,31;7,48;9914
BNA;13/11/2023;7,48;7,48;7,31;7,47;3723
BNA;14/11/2023;7,47;7,47;7,21;7,4;861
BNA;15/11/2023;7,4;7,5;7,4;7,48;12049
BNA;16/11/2023;7,48;7,5;7,34;7,48;18534
BNA;17/11/2023;7,48;7,49;7,47;7,49;11200
BNA;20/11/2023;7,49;7,49;7,42;7,48;1483
BNA;21/11/2023;7,48;7,91;7,43;7,89;84434
BNA;22/11/2023;7,89;7,89;7,65;7,88;14593
BNA;23/11/2023;7,88;8,29;7,8;8,2;34134
BNA;24/11/2023;8,2;8,2;8;8,19;31175
BNA;27/11/2023;8,19;8,2;8,039;8,19;4937
BNA;28/11/2023;8,19;8,19;7,98;8,12;7343
BNA;29/11/2023;8,12;8,3;8,12;8,26;60535
BNA;30/11/2023;8,26;8,41;8,25;8,38;26498
BNA;01/12/2023;8,38;8,38;8,3;8,36;806
