symbole;date;ouverture;haut;bas;cloture;volume
TJARI;01/09/2023;46,4;46,4;46,35;46,35;897
TJARI;04/09/2023;46,35;46,49;46;46,1;582
TJARI;05/09/2023;46,1;46,1;45,8;45,8;1330
TJARI;06/09/2023;45,8;45,9;45,53;45,79;1239
TJARI;07/09/2023;45,79;45,79;45,6;45,75;396
TJARI;08/09/2023;45,75;45,9;45,55;45,9;1321
TJARI;11/09/2023;45,9;45,9;45,5;45,85;5247
TJARI;12/09/2023;45,85;45,85;45;45,43;3914
TJARI;13/09/2023;45,43;45,43;45;45,4;154
TJARI;14/09/2023;45,4;45,4;45,01;45,39;537
TJARI;15/09/2023;45,39;45,4;45;45,29;2908
TJARI;18/09/2023;45,29;45,29;44,94;45;30144
TJARI;19/09/2023;45;45;44;44;1257
TJARI;20/09/2023;44;44;43,8;43,8;3120
TJARI;21/09/2023;43,8;43,8;41,8;41,8;12832
TJARI;22/09/2023;41,8;42;40,18;41,5;3254
TJARI;25/09/2023;41,5;41,5;39,5;40,5;5872
TJARI;26/09/2023;40,5;41,8;40,5;41,48;6078
TJARI;28/09/2023;41,48;41,8;41;41,44;3441
TJARI;29/09/2023;41,44;41,44;41,35;41,35;904
TJARI;02/10/2023;41,35;42,5;41,01;42,5;1299
TJARI;03/10/2023;42,5;42,9;42,5;42,5;1370
TJARI;04/10/2023;42,5;42,5;42,01;42,5;4743
TJARI;05/10/2023;42,5;42,5;42,2;42,2;2322
TJARI;06/10/2023;42,2;42,5;42,2;42,5;300
TJARI;09/10/2023;42,5;42,5;42,3;42,5;677
TJARI;10/10/2023;42,5;42,5;42,4;42,5;2621
TJARI;11/10/2023;42,5;42,5;42,4;42,4;2067
TJARI;12/10/2023;42,4;42,9;42,4;42,9;2814
TJARI;13/10/2023;42,9;43,95;42,9;43,65;34671
TJARI;16/10/2023;43,65;43,94;43,1;43,94;1391
TJARI;17/10/2023;43,94;43,94;43,2;43,2;605
TJARI;18/10/2023;43,2;43,87;42,9;43;540
TJARI;19/10/2023;43;43,8;42,8;42,8;517
TJARI;20/10/2023;42,8;42,8;42,6;42,8;1383
TJARI;23/10/2023;42,8;43,7;42,8;43,5;974
TJARI;24/10/2023;43,5;43,6;43,01;43,49;1314
TJARI;25/10/2023;43,49;43,49;43;43,34;5650
TJARI;26/10/2023;43,34;43,36;43,2;43,34;5757
TJARI;27/10/2023;43,34;43,34;42,82;43;752
TJARI;30/10/2023;43;43;42,5;42,9;840
TJARI;31/10/2023;42,9;42,9;42,5;42,5;1074
TJARI;01/11/2023;42,5;43;42,5;43;2392
TJARI;02/11/2023;43;43;42;42,98;10876
TJARI;03/11/2023;42,98;42,98;42,98;42,98;14
TJARI;06/11/2023;42,98;42,98;42,2;42,98;104
TJARI;07/11/2023;42,98;42,98;42,5;42,85;30
TJARI;08/11/2023;42,85;42,85;42,45;42,45;735
TJARI;09/11/2023;42,45;43;42,45;43;867
TJARI;10/11/2023;43;43;43;43;827
TJARI;13/11/2023;43;43,5;42,7;43,5;1795
TJARI;14/11/2023;43,5;43,79;42,5;42,63;7911
TJARI;15/11/2023;42,63;42,63;42,5;42,5;2658
TJARI;16/11/2023;42,5;43;42,4;42,9;272
TJARI;17/11/2023;42,9;42,9;42,5;42,8;2480
TJARI;20/11/2023;42,8;43;42,41;42,7;535
TJARI;21/11/2023;42,7;42,7;42,5;42,7;1685
TJARI;22/11/2023;42,7;43;42,5;43;373
TJARI;23/11/2023;43;43;42,7;42,7;786
TJARI;24/11/2023;42,7;42,7;42,6;42,7;4098
TJARI;27/11/2023;42,7;42,8;42,7;42,8;165
TJARI;28/11/2023;42,8;43,2;42,8;43,17;663
TJARI;29/11/2023;43,17;43,18;42,9;43,17;1875
TJARI;30/11/2023;43,17;44,87;42,9;44;1174
TJARI;01/12/2023;44;44;43;43;1663
